央视频道,#genre#
潍坊青州综合,http://150.138.8.143/00/SNM/CHANNEL00001042/index.m3u8
潍坊青州文化旅游,http://150.138.8.143/00/SNM/CHANNEL00001057/index.m3u8
潍坊昌邑新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001083/index.m3u8
临朐综合,http://150.138.8.143/00/SNM/CHANNEL00001085/index.m3u8
滨州新闻,http://150.138.8.143/00/SNM/CHANNEL00000220/index.m3u8
滨州公共,http://150.138.8.143/00/SNM/CHANNEL00000221/index.m3u8
滨州惠民综合,http://150.138.8.143/00/SNM/CHANNEL00001009/index.m3u8
滨州无棣综合,http://150.138.8.143/00/SNM/CHANNEL00001024/index.m3u8
滨州好生新闻频道,http://150.138.8.143/00/SNM/CHANNEL00001058/index.m3u8
滨州沾化综合,http://150.138.8.143/00/SNM/CHANNEL00001035/index.m3u8
滨州阳信新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001036/index.m3u8
聊城综合,http://150.138.8.143/00/SNM/CHANNEL00000250/index.m3u8
聊城公共,http://150.138.8.143/00/SNM/CHANNEL00000251/index.m3u8
聊城冠县综合,http://150.138.8.143/00/SNM/CHANNEL00001040/index.m3u8
聊城茌平综合,http://150.138.8.143/00/SNM/CHANNEL00001048/index.m3u8
东阿综合,http://150.138.8.143/00/SNM/CHANNEL00001093/index.m3u8
临清综合,http://150.138.8.143/00/SNM/CHANNEL00001103/index.m3u8
东营广饶新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001043/index.m3u8
日照岚山HD,http://150.138.8.143/00/SNM/CHANNEL00001044/index.m3u8
东营新闻,http://150.138.8.143/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143/00/SNM/CHANNEL00000227/index.m3u8
菏泽新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000232/index.m3u8
菏泽财经法制,http://150.138.8.143/00/SNM/CHANNEL00000233/index.m3u8
菏泽HZTV-2,http://150.138.8.143/00/SNM/CHANNEL00000234/index.m3u8
菏泽定陶,http://150.138.8.143/00/SNM/CHANNEL00001063/index.m3u8
菏泽东明,http://150.138.8.143/00/SNM/CHANNEL00001065/index.m3u8
菏泽单县综合,http://150.138.8.143/00/SNM/CHANNEL00001079/index.m3u8
菏泽郓城新闻,http://150.138.8.143/00/SNM/CHANNEL00001041/index.m3u8
菏泽巨野新闻,http://150.138.8.143/00/SNM/CHANNEL00001046/index.m3u8
菏泽莘县,http://150.138.8.143/00/SNM/CHANNEL00001047/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000238/index.m3u8
济宁教育,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
济宁新闻,http://150.138.8.143/00/SNM/CHANNEL00000240/index.m3u8
济宁公共,http://150.138.8.143/00/SNM/CHANNEL00000241/index.m3u8
济宁梁山新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001075/index.m3u8
嘉祥综合,http://150.138.8.143/00/SNM/CHANNEL00001016/index.m3u8
济宁兖州新闻,http://150.138.8.143/00/SNM/CHANNEL00001051/index.m3u8
济宁曲阜新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001052/index.m3u8
济宁邹城新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001038/index.m3u8
济宁高新,http://150.138.8.143/00/SNM/CHANNEL00001101/index.m3u8
日照综合,http://150.138.8.143/00/SNM/CHANNEL00000262/index.m3u8
日照科教,http://150.138.8.143/00/SNM/CHANNEL00000263/index.m3u8
日照五莲新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001068/index.m3u8
日照莒县,http://150.138.8.143/00/SNM/CHANNEL00001014/index.m3u8
威海公共,http://150.138.8.143/00/SNM/CHANNEL00000275/index.m3u8
威海乳山,http://150.138.8.143/00/SNM/CHANNEL00001049/index.m3u8
威海荣成综合,http://150.138.8.143/00/SNM/CHANNEL00001053/index.m3u8
烟台新闻,http://150.138.8.143/00/SNM/CHANNEL00000280/index.m3u8
烟台公共,http://150.138.8.143/00/SNM/CHANNEL00000281/index.m3u8
烟台经济科技,http://150.138.8.143/00/SNM/CHANNEL00000282/index.m3u8
烟台影视,http://150.138.8.143/00/SNM/CHANNEL00000283/index.m3u8
烟台栖霞综合,http://150.138.8.143/00/SNM/CHANNEL00001055/index.m3u8
烟台牟平新闻,http://150.138.8.143/00/SNM/CHANNEL00001076/index.m3u8
烟台牟平生活,http://150.138.8.143/00/SNM/CHANNEL00001077/index.m3u8
蓬莱新闻,http://150.138.8.143/00/SNM/CHANNEL00001088/index.m3u8
海阳综合,http://150.138.8.143/00/SNM/CHANNEL00001091/index.m3u8
长岛新闻,http://150.138.8.143/00/SNM/CHANNEL00001090/index.m3u8
淄博新闻,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
淄博都市,http://150.138.8.143/00/SNM/CHANNEL00000293/index.m3u8
淄博生活,http://150.138.8.143/00/SNM/CHANNEL00000294/index.m3u8
淄博科教,http://150.138.8.143/00/SNM/CHANNEL00000295/index.m3u8
淄博公共,http://150.138.8.143/00/SNM/CHANNEL00001037/index.m3u8
淄博沂源新闻,http://150.138.8.143/00/SNM/CHANNEL00001002/index.m3u8
淄博桓台,http://150.138.8.143/00/SNM/CHANNEL00001020/index.m3u8
淄川新闻,http://150.138.8.143/00/SNM/CHANNEL00001007/index.m3u8
泰安东平新闻,http://150.138.8.143/00/SNM/CHANNEL00001001/index.m3u8
泰安宁阳-1,http://150.138.8.143/00/SNM/CHANNEL00001071/index.m3u8
泰安宁阳-2,http://150.138.8.143/00/SNM/CHANNEL00001072/index.m3u8
泰安新泰新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001029/index.m3u8
泰安新泰乡村,http://150.138.8.143/00/SNM/CHANNEL00001066/index.m3u8
临沂蒙阴TV-1,http://150.138.8.143/00/SNM/CHANNEL00001031/index.m3u8
临沂兰陵综合,http://150.138.8.143/00/SNM/CHANNEL00001032/index.m3u8
兰陵公共,http://150.138.8.143/00/SNM/CHANNEL00001095/index.m3u8
沂水综合,http://150.138.8.143/00/SNM/CHANNEL00001098/index.m3u8
沂水生活,http://150.138.8.143/00/SNM/CHANNEL00001099/index.m3u8
嘉佳卡通,http://150.138.8.143/00/SNM/CHANNEL00000074/index.m3u8
CETV1,http://150.138.8.143/00/SNM/CHANNEL00000076/index.m3u8
CETV2,http://150.138.8.143/00/SNM/CHANNEL00000077/index.m3u8
CETV4,http://150.138.8.143/00/SNM/CHANNEL00000666/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000070/index.m3u8
CHC家庭影院,http://150.138.8.143/00/SNM/CHANNEL00002028/index.m3u8
CHC高清电影,http://150.138.8.143/00/SNM/CHANNEL00002029/index.m3u8
CHC动作电影,http://150.138.8.143/00/SNM/CHANNEL00002030/index.m3u8
海看生活,http://150.138.8.143/00/SNM/CHANNEL00000202/index.m3u8
海看教育,http://150.138.8.143/00/SNM/CHANNEL00000204/index.m3u8
海看演艺,http://150.138.8.143/00/SNM/CHANNEL00000400/index.m3u8
海看健康,http://150.138.8.143/00/SNM/CHANNEL00000401/index.m3u8
海看少儿,http://150.138.8.143/00/SNM/CHANNEL00000402/index.m3u8
海看剧场,http://150.138.8.143/00/SNM/CHANNEL00000403/index.m3u8
海看热播,http://150.138.8.143/00/SNM/CHANNEL00000405/index.m3u8
海看大片,http://150.138.8.143/00/SNM/CHANNEL00000407/index.m3u8
海看电竞,http://150.138.8.143/00/SNM/CHANNEL00000408/index.m3u8
喜剧影院,http://150.138.8.143/00/SNM/CHANNEL00000602/index.m3u8
动作影院,http://150.138.8.143/00/SNM/CHANNEL00000603/index.m3u8
经典电影,http://150.138.8.143/00/SNM/CHANNEL00000604/index.m3u8
少儿动画,http://150.138.8.143/00/SNM/CHANNEL00000605/index.m3u8
相声小品,http://150.138.8.143/00/SNM/CHANNEL00000606/index.m3u8
财富天下,http://150.138.8.143/00/SNM/CHANNEL00000607/index.m3u8
热播剧场,http://150.138.8.143/00/SNM/CHANNEL00000608/index.m3u8
魅力时尚,http://150.138.8.143/00/SNM/CHANNEL00000609/index.m3u8
墨宝,http://150.138.8.143/00/SNM/CHANNEL00000610/index.m3u8
光影,http://150.138.8.143/00/SNM/CHANNEL00000611/index.m3u8
美人,http://150.138.8.143/00/SNM/CHANNEL00000612/index.m3u8
四海钓鱼,http://150.138.8.143/00/SNM/CHANNEL00000640/index.m3u8
优优宝贝,http://150.138.8.143/00/SNM/CHANNEL00000641/index.m3u8
北京卡酷少儿,http://150.138.8.143/00/SNM/CHANNEL00000661/index.m3u8
金鹰卡通,http://150.138.8.143/00/SNM/CHANNEL00000047/index.m3u8
金鹰纪实,http://150.138.8.143/00/SNM/CHANNEL00000334/index.m3u8
中华特产,http://150.138.8.143/00/SNM/CHANNEL00000642/index.m3u8
环球旅游,http://150.138.8.143/00/SNM/CHANNEL00000643/index.m3u8
生态环境,http://150.138.8.143/00/SNM/CHANNEL00000644/index.m3u8
车迷频道,http://150.138.8.143/00/SNM/CHANNEL00000645/index.m3u8
中国交通,http://150.138.8.143/00/SNM/CHANNEL00000073/index.m3u8
体育赛事,http://150.138.8.143/00/SNM/CHANNEL00002013/index.m3u8
中国足协杯,http://150.138.8.143/00/SNM/CHANNEL00000646/index.m3u8
快乐垂钓高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00000648/index.m3u8
茶频道高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00000649/index.m3u8
先锋乒羽（试看）,http://150.138.8.143/00/SNM/CHANNEL00000650/index.m3u8
书画频道（试看）,http://150.138.8.143/00/SNM/CHANNEL00000651/index.m3u8
靓妆（试看）,http://150.138.8.143/00/SNM/CHANNEL00000653/index.m3u8
家庭理财（试看）,http://150.138.8.143/00/SNM/CHANNEL00000654/index.m3u8
梨园高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00000656/index.m3u8
武术世界高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00000657/index.m3u8
文物宝库高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00000658/index.m3u8
新动漫（试看）,http://150.138.8.143/00/SNM/CHANNEL00000659/index.m3u8
网络棋牌（试看）,http://150.138.8.143/00/SNM/CHANNEL00000660/index.m3u8
IPTV5+,http://150.138.8.143/00/SNM/CHANNEL00000703/index.m3u8
足球,http://150.138.8.143/00/SNM/CHANNEL00000704/index.m3u8
河南武术世界,http://150.138.8.143/00/SNM/CHANNEL00000657/index.m3u8
河南文物宝库,http://150.138.8.143/00/SNM/CHANNEL00000658/index.m3u8
动漫秀场高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00002000/index.m3u8
极速汽车高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00002001/index.m3u8
法制天地高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00002010/index.m3u8
精彩影视高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00002012/index.m3u8
乐游高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00002016/index.m3u8
金色学堂高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00002018/index.m3u8
生活时尚高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00002019/index.m3u8
魅力足球高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00002021/index.m3u8
都市剧场高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00002022/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000630/index.m3u8
幸福彩高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00002023/index.m3u8
游戏风云高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00002024/index.m3u8
东方财经高清（试看）,http://150.138.8.143/00/SNM/CHANNEL00002025/index.m3u8

港台频道,#genre#
凤凰中文台,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯台,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰香港台,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
J2,http://120.84.96.29:808/hls/86/index.m3u8#http://120.84.96.29:808/hls/86/index.m3u8

4K频道,#genre#
SiTV欢笑剧场4K.http://223.110.243.153/ott.js.chinamobile.com/PLTV/3/224/3221227715/index.m3u8
4K花园娱乐,http://223.110.243.163/ott.js.chinamobile.com/PLTV/3/224/3221227749/index.m3u8
咪咕4K,http://117.136.154.98/PLTV/88888888/224/3221225833/index.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225800/index.m3u8
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8#http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225786/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3
北京4K,http://221.179.217.94/PLTV/88888888/224/3221226550/1.m3u8
BTV纪实科教-8KSDR源,http://159.75.85.63:6798
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
欢笑剧场4K,http://113.207.84.197:8090/__cl/cg:live/__c/hxjc_4K/__op/default/__f/index.m3u8
CCTV4K-25P-SDR源,http://113.207.84.197:8090/__cl/cg:live/__c/CCTV4K/__op/default/__f/index.m3u8
CCTV16-4K25P-SDR源,http://113.207.84.197:8090/__cl/cg:live/__c/CCTV16_4K/__op/default/__f/index.m3u8
爱上4K,http://111.20.40.170/PLTV/88888893/224/3221226352/index.m3u8
咪咕体育,http://gslbserv.itv.cmvideo.cn:80/3000000010000005180/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005180&livemode=1&stbId=3
4K影视,http://nas.jdshipin.com:8801/4kys.php
江苏8K测试,http://[2409:8087:2001:20:2800:0:df6e:eb04]/wh7f454c46tw1782571424_-1576923679/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8?icpid=3&RTS=1674188624&from=40&popid=40&hms_devid=2041&prioritypopid=40&vqe=3
CCTV8K测试,http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw1981574683_-2118700426/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1659435610&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
CCTV1-4K，http://[2409:8087:2001:20:2800:0:df6e:eb02]/ott.mobaibox.com/PLTV/4/224/3221227896/index.m3u8
BesTV-4K,http://[2409:8087:5e01:34::30]:6610/ZTE_CMS/00000001000000060000000000000202/index.m3u8?IAS
河南4K,http://[2409:8087:4400:20:1:a0f:12:33]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226526/index.m3u8

地方频道,#genre#
北京冬奥纪实,http://39.134.115.163:8080/PLTV/88888910/224/3221225676/index.m3u8
浙江钱江,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8?k=ace136d16e3700972b06cca5316b34d8&t=1577153432
浙江经视,http://yd-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8?k=3bc164885721feecc386b066a39b8567&t=1577153471
浙江影视娱乐,http://yd-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8?k=79b277c166767a9e072b9629b446d4e9&t=1577153637
浙江6套,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8?k=7902d458851930a3cab9763349e1425c&t=1577153702
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8?k=4812130c6c3788cf5c6a6ba64a47678c&t=1577153743
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8?k=1a7559a51eeb880b021619a07f463ac4&t=1577153787
浙江留学,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8?k=e50bfc43311fc5aecad39f294634bb01&t=1577153817
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8?k=48877e6c28c2a0215eb8712eb48b888d&t=1577153884

河南频道,#genre#
河南睛彩中原,http://live.dxhmt.cn:9080/19903718786/854deb36f8db4c9098cad18cc35bd632.m3u8
河南移动戏曲,http://live.dxhmt.cn:9080/19903718786/a9aab4c5eef74da18d684c75c6dd7e10.m3u8
武术世界,http://live.dxhmt.cn:9080/live/yshnpre.m3u8
