央视频道,#genre#
淄博文旅-SD,http://127.0.0.1:4022/udp/239.21.1.83:5002
淄博民生-SD,http://127.0.0.1:4022/udp/239.21.1.109:5002
淄博沂源综合-SD,http://127.0.0.1:4022/udp/239.21.1.114:5002
淄博桓台综合-SD,http://127.0.0.1:4022/udp/239.21.1.105:5002
张店-SD,http://127.0.0.1:4022/udp/239.21.2.138:5002
高青综合-SD,http://127.0.0.1:4022/udp/239.21.2.140:5002
泰安东平综合,http://127.0.0.1:4022/udp/239.21.1.216:5002
泰安宁阳综合频道,http://127.0.0.1:4022/udp/239.21.1.143:5002
泰安新泰综合,http://127.0.0.1:4022/udp/239.21.1.210:5002
泰安新泰乡村,http://127.0.0.1:4022/udp/239.21.1.248:5002 
岱岳,http://127.0.0.1:4022/udp/239.21.2.139:5002
泰山,http://127.0.0.1:4022/udp/239.21.2.147:5002
泰安宁阳-2-SD,http://127.0.0.1:4022/udp/239.21.1.144:5002
临沂蒙阴综合,http://127.0.0.1:4022/udp/239.21.2.23:5002
临沂兰陵综合,http://127.0.0.1:4022/udp/239.21.1.237:5002
临沭综合,http://127.0.0.1:4022/udp/239.21.2.154:5002
河东综合,http://127.0.0.1:4022/udp/239.21.2.136:5002
兰陵公共,http://127.0.0.1:4022/udp/239.21.2.63:5002
沂水综合,http://127.0.0.1:4022/udp/239.21.2.79:5002
沂水生活,http://127.0.0.1:4022/udp/239.21.2.80:5002
莒南综合-SD,http://127.0.0.1:4022/udp/239.21.2.66:5002
德州新闻,http://127.0.0.1:4022/udp/239.21.1.75:5002
德州经济生活,http://127.0.0.1:4022/udp/239.21.1.76:5002
宁津综合,http://127.0.0.1:4022/udp/239.21.2.50:5002
齐河综合,http://127.0.0.1:4022/udp/239.21.1.230:5002
武城综合频道,http://127.0.0.1:4022/udp/239.21.1.239:5002
武城综艺影视,http://127.0.0.1:4022/udp/239.21.1.240:5002
禹城综合,http://127.0.0.1:4022/udp/239.21.1.241:5002
禹城综艺,http://127.0.0.1:4022/udp/239.21.1.242:5002
平原综合,http://127.0.0.1:4022/udp/239.21.1.243:5002
夏津综合,http://127.0.0.1:4022/udp/239.21.1.106:5002
夏津公共,http://127.0.0.1:4022/udp/239.21.1.102:5002
陵城综合,http://127.0.0.1:4022/udp/239.21.2.24:5002
临邑综合,http://127.0.0.1:4022/udp/239.21.2.130:5002
菏泽HZTV-1-SD,http://127.0.0.1:4022/udp/239.21.1.103:5002
菏泽HZTV-2-SD,http://127.0.0.1:4022/udp/239.21.2.18:5002
鄄城综合-SD,http://127.0.0.1:4022/udp/239.21.2.141:5002
东明TV-1-SD,http://127.0.0.1:4022/udp/239.21.1.246:5002
郓城新闻,http://127.0.0.1:4022/udp/239.21.1.251:5002
定陶TV-1,http://127.0.0.1:4022/udp/239.21.1.244:5002
单县综合,http://127.0.0.1:4022/udp/239.21.2.21:5002
巨野新闻,http://127.0.0.1:4022/udp/239.21.1.215:5002
莘县综合,http://127.0.0.1:4022/udp/239.21.1.211:5002
济宁任城1,http://127.0.0.1:4022/udp/239.21.2.143:5002
济宁任城2,http://127.0.0.1:4022/udp/239.21.2.144:5002
济宁生活-SD,http://127.0.0.1:4022/udp/239.21.1.139:5002
济宁公共-SD,http://127.0.0.1:4022/udp/239.21.2.20:5002
济宁高新,http://127.0.0.1:4022/udp/239.21.2.83:5002
济宁综合,http://127.0.0.1:4022/udp/239.21.2.19:5002#http://127.0.0.1:4022/udp/239.21.1.138:5002
