央视频道,#genre#
深圳卫视-SD,http://222.134.240.136:9901/tsfile/live/0126_2.m3u8#http://123.132.234.158:8154/tsfile/live/0126_1.m3u8
陕西卫视-SD,http://222.134.240.136:9901/tsfile/live/0136_1.m3u8#http://123.132.234.158:8154/tsfile/live/0136_1.m3u8
山西卫视-SD,http://222.134.240.136:9901/tsfile/live/0118_1.m3u8#http://123.132.234.158:8154/tsfile/live/0118_1.m3u8
宁夏卫视-SD,http://222.134.240.136:9901/tsfile/live/0112_1.m3u8#http://123.132.234.158:8154/tsfile/live/0112_1.m3u8
青海卫视-SD,http://222.134.240.136:9901/tsfile/live/0140_1.m3u8#http://123.132.234.158:8154/tsfile/live/0140_1.m3u8
甘肃卫视,http://123.132.234.158:8154/tsfile/live/0141_1.m3u8
西藏卫视-SD,http://222.134.240.136:9901/tsfile/live/0111_1.m3u8#http://123.132.234.158:8154/tsfile/live/0111_1.m3u8
兵团卫视-SD,http://222.134.240.136:9901/tsfile/live/0115_1.m3u8
内蒙古卫视-SD,http://222.134.240.136:9901/tsfile/live/0109_1.m3u8#http://123.132.234.158:8154/tsfile/live/0109_1.m3u8
新疆卫视-SD,http://222.134.240.136:9901/tsfile/live/0110_1.m3u8#http://123.132.234.158:8154/tsfile/live/0110_1.m3u8
厦门卫视-SD,http://222.134.240.136:9901/tsfile/live/0129_1.m3u8
三沙卫视-SD,http://222.134.240.136:9901/tsfile/live/1041_1.m3u8
省内频道,#genre#
山东少儿,http://222.134.240.136:9901/tsfile/live/1000_1.m3u8#http://123.132.234.158:8154/tsfile/live/1007_1.m3u8
山东影视,http://222.134.240.136:9901/tsfile/live/1001_1.m3u8
山东综艺,http://222.134.240.136:9901/tsfile/live/1002_1.m3u8#http://123.132.234.158:8154/tsfile/live/1003_1.m3u8
山东生活,http://222.134.240.136:9901/tsfile/live/1003_1.m3u8#http://123.132.234.158:8154/tsfile/live/1005_1.m3u8
山东新闻,http://222.134.240.136:9901/tsfile/live/1004_1.m3u8#http://123.132.234.158:8154/tsfile/live/1002_1.m3u8
山东农科,http://222.134.240.136:9901/tsfile/live/1005_1.m3u8
山东齐鲁,http://222.134.240.136:9901/tsfile/live/1006_1.m3u8#http://123.132.234.158:8154/tsfile/live/1001_1.m3u8
山东文旅,http://123.132.234.158:8154/tsfile/live/1004_1.m3u8
山东体育,http://222.134.240.136:9901/tsfile/live/1073_1.m3u8#http://123.132.234.158:8154/tsfile/live/1006_1.m3u8
山东教育卫视,http://222.134.240.136:9901/tsfile/live/1043_1.m3u8
东营区,http://222.134.240.136:9901/tsfile/live/1088_1.m3u8
东营区-2,http://222.134.240.136:9901/tsfile/live/1089_1.m3u8
胜利综合,http://222.134.240.136:9901/tsfile/live/1090_1.m3u8
胜利影视,http://222.134.240.136:9901/tsfile/live/1087_1.m3u8
河口区台,http://222.134.240.136:9901/tsfile/live/1091_1.m3u8
东营公共-SD,http://222.134.240.136:9901/tsfile/live/1008_1.m3u8
东营综合-SD,http://222.134.240.136:9901/tsfile/live/1009_1.m3u8
其他频道,#genre#
海看热播,http://222.134.240.136:9901/tsfile/live/1011_1.m3u8
海看演艺,http://222.134.240.136:9901/tsfile/live/1012_1.m3u8
海看爱宠,http://222.134.240.136:9901/tsfile/live/1013_1.m3u8
海看剧场,http://222.134.240.136:9901/tsfile/live/1014_1.m3u8
海看大片,http://222.134.240.136:9901/tsfile/live/1015_1.m3u8
测试,http://222.134.240.136:9901/tsfile/live/1031_1.m3u8
中国交通,http://222.134.240.136:9901/tsfile/live/1028_1.m3u8
IPTV3+-SD,http://222.134.240.136:9901/tsfile/live/1016_1.m3u8
IPTV5+-SD,http://222.134.240.136:9901/tsfile/live/1017_1.m3u8
IPTV6+-SD,http://222.134.240.136:9901/tsfile/live/1018_1.m3u8
IPTV8+-SD,http://222.134.240.136:9901/tsfile/live/1019_1.m3u8
鉴赏-SD,http://222.134.240.136:9901/tsfile/live/1037_1.m3u8
经典电影-SD,http://222.134.240.136:9901/tsfile/live/1039_1.m3u8
喜剧-SD,http://222.134.240.136:9901/tsfile/live/1040_1.m3u8
CETV1-SD,http://222.134.240.136:9901/tsfile/live/1042_1.m3u8
CETV2-SD,http://222.134.240.136:9901/tsfile/live/1072_1.m3u8
CETV4-SD,http://222.134.240.136:9901/tsfile/live/1069_1.m3u8
热播剧场-SD,http://222.134.240.136:9901/tsfile/live/1044_1.m3u8
法制-SD,http://222.134.240.136:9901/tsfile/live/1045_1.m3u8
家庭影院-SD,http://222.134.240.136:9901/tsfile/live/1046_1.m3u8
谍战剧场-SD,http://222.134.240.136:9901/tsfile/live/1047_1.m3u8
相声小品-SD,http://222.134.240.136:9901/tsfile/live/1050_1.m3u8
武侠剧场-SD,http://222.134.240.136:9901/tsfile/live/1048_1.m3u8
动作影院-SD,http://222.134.240.136:9901/tsfile/live/1051_1.m3u8
古装剧场-SD,http://222.134.240.136:9901/tsfile/live/1052_1.m3u8
军事-SD,http://222.134.240.136:9901/tsfile/live/1053_1.m3u8
军旅剧场-SD,http://222.134.240.136:9901/tsfile/live/1056_1.m3u8
戏曲-SD,http://222.134.240.136:9901/tsfile/live/1058_1.m3u8
武术-SD,http://222.134.240.136:9901/tsfile/live/1059_1.m3u8
精选-SD,http://222.134.240.136:9901/tsfile/live/1032_1.m3u8
足球-SD,http://222.134.240.136:9901/tsfile/live/1033_1.m3u8
台球-SD,http://222.134.240.136:9901/tsfile/live/1034_1.m3u8
高网-SD,http://222.134.240.136:9901/tsfile/live/1035_1.m3u8
早教-SD,http://222.134.240.136:9901/tsfile/live/1036_1.m3u8
美妆-SD,http://222.134.240.136:9901/tsfile/live/1060_1.m3u8
财富天下-SD,http://222.134.240.136:9901/tsfile/live/1061_1.m3u8
国学-SD,http://222.134.240.136:9901/tsfile/live/1062_1.m3u8
星影-SD,http://222.134.240.136:9901/tsfile/live/1063_1.m3u8
光影-SD,http://222.134.240.136:9901/tsfile/live/1064_1.m3u8
爱生活-SD,http://222.134.240.136:9901/tsfile/live/1065_1.m3u8
墨宝-SD,http://222.134.240.136:9901/tsfile/live/1067_1.m3u8
魅力时尚-SD,http://222.134.240.136:9901/tsfile/live/1071_1.m3u8
四海钓鱼-SD,http://222.134.240.136:9901/tsfile/live/1086_1.m3u8
动漫秀场,http://222.134.240.136:9901/tsfile/live/1029_1.m3u8
少儿动漫-SD,http://222.134.240.136:9901/tsfile/live/1020_1.m3u8
哈哈炫动-SD,http://222.134.240.136:9901/tsfile/live/1023_1.m3u8
优漫卡通-SD,http://222.134.240.136:9901/tsfile/live/1025_1.m3u8
嘉佳卡通-SD,http://222.134.240.136:9901/tsfile/live/1026_1.m3u8
动画-SD,http://222.134.240.136:9901/tsfile/live/1027_1.m3u8
新科动漫-SD,http://222.134.240.136:9901/tsfile/live/1085_1.m3u8
爱看4K,http://222.134.240.136:9901/tsfile/live/1054_1.m3u8
